씨젠  1주당 100원 현금배당…총 26억원 배당,씨젠은 코젠바이오텍·솔젠트·에스디바이오텍과 함께 식품의약품안전처로부터 신종 코로나바이러스 감염증(코로나19) 진단키트 긴급사용승인을 받은 4개 국내 기업 중 하나입니다. [MBN 온라인뉴스팀]
靑  北 발사체 발사에 “평화에 도움 안돼”…‘강한 우려’ 빠진 이유는?,북한의 이번 발사체 발사는 지난 2일에 이어 일주일 만이고 코로나19 사태와 관련한 남북 정상 간 친서 교환... 하지만 그 다음 날인 4일 김 위원장은 코로나19 극복을 응원하는 친서를 문 대통령에게 보냈습니다. 김... 
&quot;나가지 말라 당부에도&quot;…경찰  자가격리 위반 11건 수사(종합),심동준 류인선 기자 = 경찰이 신종 코로나바이러스 감염증(코로나19)과 관련한 보건당국의 자가격리  지방자치단체의 집회금지 등 조치 불응 행위와 관련해 20건을 수사 중인 것으로 파악됐다. 민갑룡 경찰청장은 9일... 
전국 시도지사 &quot;마지막 골든타임  외출 자제해달라&quot;,코로나19의 확실한 차단을 위해 '사회적 거리두기  잠시 멈춤' 캠페인에 동참해 줄 것을 국민들에게 호소했다. 대한민국시도지사협의회에 참석하는 전국 시도지사 17명은 9일 긴급 호소문을 내고 &quot;앞으로의 2주가 코로나19... 
코로나19로 인한 학습공백 해소에 발 벗고 나선 광주 교원들,광주시교육청 소속 교원들이 코로나19 확산 이후 학생들의 학습 공백 해소를 위해 학습방 개설 방법 등을 동영상으로 제작·배포하는 등 공동 대응에 나섰다. 교육부의 휴업 1단계 조치로 수업일수 감축 없는 휴업이... 
T1 ‘페이커’ 이상혁  코로나19 방지 위해 3000만원 기부,T1 Entertainment &amp; Sports 소속인 프로게이머 레전드 ‘페이커’ 이상혁 선수가 코로나19 확산 예방을 위해 기부 행렬에 동참했다. 이상혁 선수는 지난 5일 서울 사회복지공동모금 (사랑의 열매)에 코로나19 지원을... 
국경 폐쇄 北  외교관은 블라디보스토크 행 허용,9일 평양-블라디보스토크 특별항공편 운행 격리 해제 평양 주재 외교관 등 이송한 듯 신종 코로나바이러스 감염증(코로나19) 차단을 위해 국경을 봉쇄했던 북한이 외국인 이송을 위한 특별항공편을 띄웠다. 북한 당국이... 
&quot;확진자 감소 추세 이어가야…아직 낙관은 금물&quot;,◀ 앵커 ▶ 문재인 대통령이 코로나19 사태와 관련해 &quot;신규 확진자 수가 정점을 찍은 뒤 감소하는 추세를... 문재인 대통령은 코로나19 신규 확진자 수가 지난달 28일 916명으로 정점을 찍은 뒤 어제 248명으로 꾸준히... 
'지자체서 배급한 마스크' 지인에게 건넨 50대 이장 입건,코로나19 감염 확산을 막기 위해 지자체가 나눠준 마스크를 빼돌린 50대 이장이 경찰에 붙잡혔다. 전남 화순경찰서는 업무상 횡령 혐의로 이장 A씨를 불구속 입건했다고 9일 밝혔다. A씨는 지난 1월 말부터 2월 초까지... 
마스크 있어도 쓸 수 없는 사람들 ‘수어통역사’,제주수어통역센터 배우리 통역사는 &quot;코로나19 확진자가 나오면서 마스크를 끼기 시작했지만  여러 농인... 안타깝게도 코로나 사태 한번이 더 큰 관심을 불러일으킨 것 같다&quot;고 말했다. 제주도수화통역센터에 따르면... 
